model,T1,T2,T3,T4,T5,C1,H1,H2,H3,H4,H5,H6,SD,SL,note
sample,x20y20,x20y-20,x-20y-20,x-20y20,-,x20y20,x20y-20,x-20y-20,x-20y-20,x-20y20,-,-,4.1,9,
Diamir-Freeride,,,,,,,,,,,,,,,
Diamir-FreeridePro+Eagle,,,,,,,,,,,,,,,
Diamir-Vipec,,,,,,,,,,,,,,,
Dynafit-Radical,,,,,,,,,,,,,,,
Dynafit-Vertical-Speed_G3-Onyx,,,,,,,,,,,,,,,
G3-Ion,x25y20,x25y-20,x-20y-20,x-20y20,-,-,x15y18,x15y-18,x-37.5y-18,x-37.5y18,-,-,4.1,9,
Marker-Duke-Baron-Tour Small,x17y18,x18y-18,x-52y-18,x-52y18,-,x-154y0,x-218y18,x-218y-18,x-289-y18,x-289y18,-,-,4.1,9,
Marker-Duke-Baron-Tour Large,x17y18,x18y-18,x-52y-18,x-52y18,-,x-154y0,x-258y18,x-258y-18,x-329-y18,x-329y18,-,-,4.1,9,
Marker-Duke-EPF Small,,,,,,,,,,,,,4.1,9,
Marker-Duke-EPF Large,,,,,,,,,,,,,4.1,9,
Marker-Jester-Griffon-Squire,x21y18,x21y-18,x-10y-18,x-10y18,-,-,x25y16,x25y-16,x-55y-16,x-55y16,-,-,4.1,9,
Marker-Jester-Griffon-Demo,x21y18,x21y-18,x-10y-18,x-10y18,-,x-64y0,x25y16,x25y-16,x-55y-16,x-55y16,-,-,4.1,9,BSL315mm
Marker-Schizo,x21y18,x21y-18,x-10y-18,x-10y18,-,x-64y0,x25y16,x25y-16,x-55y-16,x-55y16,-,-,4.1,9,
Marker-MSeries,,,,,,,,,,,,,,,
Marker-Ten,,,,,,,,,,,,,,,
Marker_Kingpin,,,,,,,,,,,,,,,
Naxo-NX,,,,,,,,,,,,,,,
Rossi-Axial1_Look-Pivot,,,,,,,,,,,,,,,
Rossi-Axial2_Look-PX,,,,,,,,,,,,,,,
Rossi-FKS,,,,,,,,,,,,,,,
Rossi_Look-Racing,,,,,,,,,,,,,,,
Salomon-Guardian Atomic-Tracker,,,,,,,,,,,,,,,
Salomon-STH2_v1.3 (1),,,,,,,,,,,,,,,
Salomon-alpine_v1.3,,,,,,,,,,,,,,,
Salomon_Rental,,,,,,,,,,,,,,,
Tyrolia_Head,,,,,,,,,,,,,,,
Splitboard_tour,,,,,,,,,,,,,,,
Splitboard_puck,,,,,,,,,,,,,,,
